WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (172.023665580156 -42.8290265318844)",OPEN,Candlesticks Bivvy,Buildings,Basic Hut/bivvy,172.02366558,-42.8290265319
"POINT (167.696824764515 -44.9981560740099)",OPEN,Glaisnock Hut,Buildings,Standard Hut,167.696824765,-44.998156074
"POINT (167.825079986605 -45.6685900868082)",OPEN,Whare Creek Hut,Buildings,Basic Hut/bivvy,167.825079987,-45.6685900868
"POINT (168.114969516821 -44.2990937701722)",OPEN,Big Bay Hut,Buildings,Standard Hut,168.114969517,-44.2990937702
"POINT (176.063717189959 -40.0658964710065)",OPEN,Cattle Creek Hut,Buildings,Standard Hut,176.06371719,-40.065896471
"POINT (176.122357233526 -39.9513309562935)",OPEN,Longview Hut,Buildings,Serviced Hut,176.122357234,-39.9513309563
"POINT (176.141541690046 -39.9971014982604)",OPEN,Happy Daze Hut,Buildings,Basic Hut/bivvy,176.14154169,-39.9971014983
"POINT (176.197528823949 -39.5901293169256)",OPEN,Ikawatea Forks Hut,Buildings,Standard Hut,176.197528824,-39.5901293169
"POINT (176.047252224836 -40.0881202220716)",OPEN,Stanfield Hut,Buildings,Standard Hut,176.047252225,-40.0881202221
"POINT (176.297149125762 -39.5782986923528)",OPEN,Dead Dog Hut,Buildings,Standard Hut,176.297149126,-39.5782986924
"POINT (176.134249492062 -39.8117977574018)",OPEN,Waikamaka Hut,Buildings,Standard Hut,176.134249492,-39.8117977574
"POINT (176.227393909487 -39.6803344807117)",OPEN,Upper Makaroro Hut,Buildings,Standard Hut,176.227393909,-39.6803344807
"POINT (176.324111567866 -39.5576859858782)",OPEN,Ruahine Hut,Buildings,Standard Hut,176.324111568,-39.5576859859
"POINT (176.225603614147 -39.6153128248401)",OPEN,Rockslide Hut,Buildings,Basic Hut/bivvy,176.225603614,-39.6153128248
"POINT (176.28374717674 -39.5417291235374)",OPEN,Dianes Hut,Buildings,Basic Hut/bivvy,176.283747177,-39.5417291235
"POINT (167.851877633945 -46.2915831815234)",OPEN,Turnbull's (Big Dam) Hut,Buildings,Basic Hut/bivvy,167.851877634,-46.2915831815
"POINT (168.376592529634 -45.4391728912055)",OPEN,Irthing Hut,Buildings,Basic Hut/bivvy,168.37659253,-45.4391728912
"POINT (168.290323149083 -45.4684337934262)",OPEN,Islands Hut,Buildings,Basic Hut/bivvy,168.290323149,-45.4684337934
"POINT (175.840757547218 -37.6220240451929)",OPEN,Motutapere Hut,Buildings,Basic Hut/bivvy,175.840757547,-37.6220240452
"POINT (168.179253574041 -45.1401842278132)",OPEN,Boundary Hut,Buildings,Standard Hut,168.179253574,-45.1401842278
"POINT (167.263192418841 -45.5254233693626)",OPEN,West Arm Hut,Buildings,Basic Hut/bivvy,167.263192419,-45.5254233694
"POINT (168.163784925879 -45.188219734336)",OPEN,Careys Hut,Buildings,Standard Hut,168.163784926,-45.1882197343
"POINT (167.537288637748 -45.0252087785022)",OPEN,Lake Thomson Hut,Buildings,Standard Hut,167.537288638,-45.0252087785
"POINT (171.273478223261 -43.0658691389616)",OPEN,Unknown Stream Hut,Buildings,Basic Hut/bivvy,171.273478223,-43.065869139
"POINT (171.33812204666 -43.0528960894634)",OPEN,Weka Burnet Bivvy,Buildings,Basic Hut/bivvy,171.338122047,-43.0528960895
"POINT (171.908709360916 -42.956095638488)",OPEN,Turnbull Bivvy,Buildings,Basic Hut/bivvy,171.908709361,-42.9560956385
"POINT (172.14923275354 -43.0389472157224)",OPEN,Tarn Hut,Buildings,Basic Hut/bivvy,172.149232754,-43.0389472157
"POINT (172.183025617934 -43.0253618059626)",OPEN,Youngman Stream Hut,Buildings,Standard Hut,172.183025618,-43.025361806
"POINT (171.980472812641 -43.1617178493752)",OPEN,Lower Salmon Creek Biv,Buildings,Basic Hut/bivvy,171.980472813,-43.1617178494
"POINT (171.809974975234 -42.8494458212911)",OPEN,Poulter Hut,Buildings,Standard Hut,171.809974975,-42.8494458213
"POINT (169.05635292555 -44.9160910097611)",OPEN,Meg Hut,Buildings,Standard Hut,169.056352926,-44.9160910098
"POINT (167.581422373989 -45.6004053818889)",OPEN,Back Valley Hut,Buildings,Basic Hut/bivvy,167.581422374,-45.6004053819
"POINT (168.090820085384 -45.3551705694844)",OPEN,Kiwi Burn Hut,Buildings,Standard Hut,168.090820085,-45.3551705695
"POINT (171.987949371675 -42.7008404291485)",OPEN,Hurunui No. 3 Hut,Buildings,Standard Hut,171.987949372,-42.7008404291
