WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (176.314662615302 -39.72832459851)",OPEN,Poutaki Hut,Buildings,Basic Hut/bivvy,176.314662615,-39.7283245985
"POINT (175.92682105031 -40.1094149123529)",OPEN,Te Ekaou Hut,Buildings,Standard Hut,175.92682105,-40.1094149124
"POINT (176.43136231307 -39.2561447694653)",OPEN,IRON WHARE (Historic),Buildings,Basic Hut/bivvy,176.431362313,-39.2561447695
"POINT (169.40009403298 -44.4938603508951)",OPEN,Moonlight & Roses Hut,Buildings,Basic Hut/bivvy,169.400094033,-44.4938603509
"POINT (172.276688813715 -41.4674227317506)",OPEN,Johnson Hut,Buildings,Basic Hut/bivvy,172.276688814,-41.4674227318
"POINT (170.775608302296 -43.3782574529245)",OPEN,McCoy Hut,Buildings,Standard Hut,170.775608302,-43.3782574529
"POINT (169.688707512556 -43.9229521104122)",OPEN,Creswicke Flat Hut 2016,Buildings,Basic Hut/bivvy,169.688707513,-43.9229521104
"POINT (167.859972302219 -46.2616221498393)",OPEN,Martin's Hut,Buildings,Basic Hut/bivvy,167.859972302,-46.2616221498
"POINT (172.596794826124 -41.0062666302151)",OPEN,Soper's Tent Camp,Buildings,Basic Hut/bivvy,172.596794826,-41.0062666302
"POINT (170.737418192206 -43.1537436594067)",OPEN,Scamper Torrent Hut,Buildings,Basic Hut/bivvy,170.737418192,-43.1537436594
"POINT (168.114338182326 -44.6239188916565)",OPEN,Hidden Falls Hut,Buildings,Serviced Hut,168.114338182,-44.6239188917
"POINT (172.236943342156 -41.349798257751)",OPEN,Belltown Manunui Hut,Buildings,Standard Hut,172.236943342,-41.3497982578
"POINT (172.277098366033 -41.3798095142408)",OPEN,Wangapeka Bivvy,Buildings,Basic Hut/bivvy,172.277098366,-41.3798095142
"POINT (167.981211795703 -46.7507834015619)",OPEN,CHRISTMAS VILLAGE HUNTERS HUT,Buildings,Basic Hut/bivvy,167.981211796,-46.7507834016
"POINT (166.956145462714 -45.2956455020249)",OPEN,The Gut Hut,Buildings,Basic Hut/bivvy,166.956145463,-45.295645502
"POINT (175.091905928744 -37.9934769319099)",OPEN,Pahautea Hut (old),Buildings,Standard Hut,175.091905929,-37.9934769319
"POINT (167.940228046985 -45.7792883310025)",OPEN,Lower Wairaki Hut,Buildings,Basic Hut/bivvy,167.940228047,-45.779288331
"POINT (172.295370360351 -41.3965777998609)",OPEN,Stag Flat Hut,Buildings,Basic Hut/bivvy,172.29537036,-41.3965777999
"POINT (172.313706138692 -41.3979406727604)",OPEN,Taipo Hut,Buildings,Standard Hut,172.313706139,-41.3979406728
"POINT (172.360213890558 -41.4164939549822)",OPEN,Helicopter Flat Hut,Buildings,Standard Hut,172.360213891,-41.416493955
"POINT (-176.202683828946 -44.3192383796652)",OPEN,Glory Bay Whalers Cottage (Historic),Buildings,Basic Hut/bivvy,-176.202683829,-44.3192383797
"POINT (174.774397626043 -39.4330441616141)",OPEN,Tahupo Hut,Buildings,Standard Hut,174.774397626,-39.4330441616
"POINT (172.622345959501 -41.1691020560717)",OPEN,Balloon Hut,Buildings,Serviced Hut,172.62234596,-41.1691020561
"POINT (172.217215376793 -40.8859821061047)",OPEN,Mackay Hut,Buildings,Great Walk Hut,172.217215377,-40.8859821061
"POINT (172.468651844711 -41.2927044953353)",OPEN,Crow Hut,Buildings,Standard Hut,172.468651845,-41.2927044953
"POINT (172.439352695625 -41.3166701472826)",OPEN,Venus Hut,Buildings,Standard Hut,172.439352696,-41.3166701473
"POINT (175.448406416121 -40.8274621885182)",OPEN,Mid King Bivvy,Buildings,Basic Hut/bivvy,175.448406416,-40.8274621885
"POINT (175.451316653476 -38.3765670969968)",OPEN,Wildlife (Cowan Block) Hut,Buildings,Basic Hut/bivvy,175.451316653,-38.376567097
"POINT (172.402773452258 -40.9008389664953)",OPEN,Perry Saddle Hut,Buildings,Great Walk Hut,172.402773452,-40.9008389665
"POINT (172.353317301128 -40.8906000394055)",OPEN,Gouland Downs Hut,Buildings,Great Walk Hut,172.353317301,-40.8906000394
"POINT (168.667130988942 -44.8304868170408)",OPEN,Crystal Hut,Buildings,Basic Hut/bivvy,168.667130989,-44.830486817
"POINT (172.30384240535 -41.3323782905862)",OPEN,Kakapo Hut,Buildings,Basic Hut/bivvy,172.303842405,-41.3323782906
"POINT (169.440426271498 -44.1292880394692)",OPEN,Makarora Hut,Buildings,Standard Hut,169.440426271,-44.1292880395
"POINT (167.785717050323 -45.6321475892829)",OPEN,Cheviot Downs Hut,Buildings,Standard Hut,167.78571705,-45.6321475893
"POINT (168.05613698152 -44.4210747972032)",OPEN,Hokuri Hut,Buildings,Serviced Hut,168.056136982,-44.4210747972
"POINT (172.648839689582 -41.1859226237599)",OPEN,Salisbury Lodge,Buildings,Serviced Hut,172.64883969,-41.1859226238
"POINT (172.696368336967 -41.1704649816035)",OPEN,Upper Gridiron Hut,Buildings,Standard Hut,172.696368337,-41.1704649816
"POINT (171.442511220532 -43.4855521883499)",OPEN,Cookies Hut,Buildings,Basic Hut/bivvy,171.442511221,-43.4855521883
"POINT (172.920377815137 -40.9144380893249)",OPEN,Wainui Hut,Buildings,Standard Hut,172.920377815,-40.9144380893
"POINT (175.377550933784 -36.1839562652024)",OPEN,Kaiaraara Hut,Buildings,Serviced Hut,175.377550934,-36.1839562652
"POINT (175.412892258829 -36.1932534259725)",OPEN,MT Heale Hut,Buildings,Serviced Hut,175.412892259,-36.193253426
"POINT (170.497247201718 -45.7115589915136)",OPEN,Philip Cox Memorial Hut,Buildings,Basic Hut/bivvy,170.497247202,-45.7115589915
"POINT (170.196997790424 -43.583206763093)",OPEN,Haast Hut,Buildings,Basic Hut/bivvy,170.19699779,-43.5832067631
"POINT (167.878714847243 -45.705030986786)",OPEN,Spence Hut,Buildings,Basic Hut/bivvy,167.878714847,-45.7050309868
"POINT (168.002598022831 -45.655323971594)",OPEN,Becketts Hut,Buildings,Basic Hut/bivvy,168.002598023,-45.6553239716
"POINT (173.66183297265 -41.749520441475)",OPEN,Lake Alexander Hut,Buildings,Standard Hut,173.661832973,-41.7495204415
"POINT (170.189083603591 -44.8154343905205)",OPEN,Chimney Creek Hut,Buildings,Basic Hut/bivvy,170.189083604,-44.8154343905
"POINT (173.254304507547 -41.7900194335117)",OPEN,Boulder Forks Hut,Buildings,Standard Hut,173.254304508,-41.7900194335
"POINT (173.07477153155 -41.8802197280126)",OPEN,Siberia Hut,Buildings,Standard Hut,173.074771532,-41.880219728
"POINT (173.024689201317 -41.8655331996502)",OPEN,Lost Stream Bivvy,Buildings,Basic Hut/bivvy,173.024689201,-41.8655331997
"POINT (173.042305981583 -41.7932383930046)",OPEN,Silverstream Bivvy,Buildings,Basic Hut/bivvy,173.042305982,-41.793238393
"POINT (173.046963317279 -41.8254725201166)",OPEN,Mid Silverstream Hut,Buildings,Standard Hut,173.046963317,-41.8254725201
"POINT (173.104831261106 -41.8369811714943)",OPEN,Greigs Hut,Buildings,Standard Hut,173.104831261,-41.8369811715
"POINT (173.139809598761 -41.9265801026142)",OPEN,Bottom Gordon Hut,Buildings,Standard Hut,173.139809599,-41.9265801026
"POINT (173.034997575856 -41.9650826913067)",OPEN,Branch Bivvy,Buildings,Basic Hut/bivvy,173.034997576,-41.9650826913
"POINT (173.049438266343 -41.9119374724593)",OPEN,Bottom Misery Hut,Buildings,Standard Hut,173.049438266,-41.9119374725
"POINT (172.994335113825 -41.8844771496593)",OPEN,Top Misery Hut,Buildings,Standard Hut,172.994335114,-41.8844771497
"POINT (173.168711291031 -41.8639167974523)",OPEN,Barbers Hut,Buildings,Standard Hut,173.168711291,-41.8639167975
"POINT (173.190036662402 -41.8064103246563)",OPEN,Caves Hut,Buildings,Standard Hut,173.190036662,-41.8064103247
"POINT (173.321128939105 -41.7475731457465)",OPEN,Turkeys Nest Bivvy,Buildings,Basic Hut/bivvy,173.321128939,-41.7475731457
"POINT (173.313343047505 -42.1875451242038)",OPEN,Lake McRae Hut,Buildings,Standard Hut,173.313343048,-42.1875451242
"POINT (173.195341752313 -41.9318220624798)",OPEN,Top Gordon Hut,Buildings,Standard Hut,173.195341752,-41.9318220625
"POINT (173.32409001276 -41.8627007776287)",OPEN,Blue Mountain Hut,Buildings,Standard Hut,173.324090013,-41.8627007776
"POINT (173.082001280734 -41.9732008120221)",OPEN,Top Leatham Hut,Buildings,Standard Hut,173.082001281,-41.973200812
"POINT (173.295847999394 -41.7398048802378)",OPEN,Hidden Hut,Buildings,Standard Hut,173.295847999,-41.7398048802
"POINT (167.889309805692 -45.7350232704579)",OPEN,Upper Wairaki Hut,Buildings,Basic Hut/bivvy,167.889309806,-45.7350232705
"POINT (167.846594987623 -45.7522910919729)",OPEN,Telford Hut,Buildings,Basic Hut/bivvy,167.846594988,-45.752291092
"POINT (173.151644971108 -42.0552885333798)",OPEN,Saxton Hut,Buildings,Standard Hut,173.151644971,-42.0552885334
"POINT (172.797379482041 -43.7204540883698)",OPEN,Rod Donald Hut,Buildings,Serviced Hut,172.797379482,-43.7204540884
"POINT (173.593400304707 -42.3239993152713)",OPEN,Mt Fyffe Hut,Buildings,Standard Hut,173.593400305,-42.3239993153
"POINT (172.481181842044 -41.4655723926414)",OPEN,Kings Creek Hut,Buildings,Standard Hut,172.481181842,-41.4655723926
"POINT (169.414087922433 -43.8094272068893)",OPEN,Horseshoe Flat Hut,Buildings,Standard Hut,169.414087922,-43.8094272069
"POINT (167.764777569691 -44.7681760329715)",OPEN,Dumpling Hut,Buildings,Great Walk Hut,167.76477757,-44.768176033
"POINT (167.781489350973 -44.8096590598678)",OPEN,Mintaro Hut,Buildings,Great Walk Hut,167.781489351,-44.8096590599
"POINT (173.820553699133 -41.7178007433229)",OPEN,Black Birch Bivvy,Buildings,Basic Hut/bivvy,173.820553699,-41.7178007433
"POINT (173.751159514526 -41.7121775704824)",OPEN,Omaka Bivvy,Buildings,Basic Hut/bivvy,173.751159515,-41.7121775705
"POINT (173.682135126453 -41.7869607234085)",OPEN,Penk Hut,Buildings,Standard Hut,173.682135126,-41.7869607234
"POINT (173.346071380215 -41.7673252034784)",OPEN,Gosling Hut,Buildings,Basic Hut/bivvy,173.34607138,-41.7673252035
"POINT (167.142922694702 -45.7597338841908)",OPEN,Halfway Hut,Buildings,Standard Hut,167.142922695,-45.7597338842
"POINT (175.51799320271 -38.7493596223246)",OPEN,Hauhungaroa Hut,Buildings,Standard Hut,175.517993203,-38.7493596223
"POINT (176.409747057579 -39.1723052486386)",OPEN,Te Puia Hut (Lodge),Buildings,Serviced Hut,176.409747058,-39.1723052486
"POINT (169.826856016904 -43.6584893401029)",OPEN,Cassel Flat Hut,Buildings,Standard Hut,169.826856017,-43.6584893401
"POINT (169.866937934947 -43.7068007444605)",OPEN,Lame Duck Hut,Buildings,Standard Hut,169.866937935,-43.7068007445
"POINT (167.5654578346 -45.0461810105917)",OPEN,Lake Hankinson Hut,Buildings,Standard Hut,167.565457835,-45.0461810106
"POINT (167.914190414142 -45.6211396274343)",OPEN,Upper Princhester Hut,Buildings,Basic Hut/bivvy,167.914190414,-45.6211396274
"POINT (169.921817024034 -43.6889179712245)",OPEN,Horace Walker Hut,Buildings,Standard Hut,169.921817024,-43.6889179712
"POINT (175.303705022689 -41.5027079684799)",OPEN,Pararaki Hut [H],Buildings,Standard Hut,175.303705023,-41.5027079685
"POINT (175.344775525244 -40.9875860900123)",OPEN,Cone Hut [H],Buildings,Basic Hut/bivvy,175.344775525,-40.98758609
"POINT (172.608470443961 -41.2050693794805)",OPEN,Splugeons Rock Shelter,Buildings,Basic Hut/bivvy,172.608470444,-41.2050693795
"POINT (169.907644339651 -43.7188944346624)",OPEN,Christmas Flat Hut,Buildings,Standard Hut,169.90764434,-43.7188944347
"POINT (173.259824429448 -42.2902063363754)",OPEN,Palmer Hut,Buildings,Standard Hut,173.259824429,-42.2902063364
"POINT (173.4000384042 -42.2217157508744)",OPEN,Forbes Hut (Seymour),Buildings,Standard Hut,173.400038404,-42.2217157509
"POINT (173.438989225163 -42.278708933139)",OPEN,Warden Hut,Buildings,Standard Hut,173.438989225,-42.2787089331
"POINT (173.550552415514 -42.1517793466962)",OPEN,Goose Flat Hut,Buildings,Standard Hut,173.550552416,-42.1517793467
"POINT (168.126720353182 -45.4816379282535)",OPEN,Oreti Hut,Buildings,Basic Hut/bivvy,168.126720353,-45.4816379283
"POINT (166.946091338041 -46.2240759767571)",OPEN,Westies Hut,Buildings,Basic Hut/bivvy,166.946091338,-46.2240759768
"POINT (168.424496276267 -45.5000127925862)",OPEN,MANSION HUT,Buildings,Basic Hut/bivvy,168.424496276,-45.5000127926
"POINT (169.458633907841 -44.039232300336)",OPEN,Wills Hut,Buildings,Standard Hut,169.458633908,-44.0392323003
"POINT (172.045988461748 -41.8991494911607)",OPEN,Mt Curtis Hut,Buildings,Basic Hut/bivvy,172.045988462,-41.8991494912
"POINT (173.41567127171 -41.4589745348267)",OPEN,Mt Fell Hut,Buildings,Standard Hut,173.415671272,-41.4589745348
